Score,Method,Member,Comment
0.51457,gpt2,KaKituken,
0.51242,gpt2,andyrochi,
0.51182,bert,winstontsuicornell,
0.50907,gpt2,yewentao256,
0.50887,gpt2,ifweng,
0.49698,gpt2,VictorYu379,
0.49664,gpt2,Boca-J,
0.49024,gpt2,khass2024,
0.49011,gpt2,cin-cout,
0.48531,gpt2,huy2512hcm,
0.48506,bert,ifweng,
0.48343,gpt2,sunnivaliu,
0.47911,gpt2,chloewang-200,
0.47544,bert,mihika-jain,
0.47295,gpt2,winstontsuicornell,
0.47047,gpt2,jl3282,
0.47023,gpt2,anyaeross18,
0.46578,gpt2,rnucuta,
0.4647,gpt2,mihika-jain,
0.4616,bert,Soundpulse,
0.46064,bert,ginoitaliano,
0.46064,gpt2,ginoitaliano,
0.45919,gpt2,mitkrieg,
0.45052,gpt2,nyl20,
0.44506,bert,huy2512hcm,
0.4426,bert,primordialls,
0.44145,gpt2,yl3847,
0.434,bert,eminalparslan,
0.42412,bert,cin-cout,
0.42236,bert,yl3847,
0.42094,gpt2,primordialls,
0.41829,gpt2,Soundpulse,
0.41807,bert,DavidQifongJiang,
0.41559,word2vec,rnucuta,
0.4128,gpt2,irenegaokx,
0.40711,bert,KaKituken,
0.40414,gpt2,stephendongg,
0.40409,gpt2,aneeshat01,
0.40045,bert,Theod0reWu,
0.39939,bert,jl3282,
0.39744,gpt2,adi-bal,
0.39633,bert,kekelilii,
0.39582,bert,yewentao256,
0.39309,bert,rnucuta,
0.39284,word2vec,ifweng,
0.38359,word2vec,primordialls,
0.37846,bert,eminmdzd,
0.37688,bert,anyaeross18,
0.37379,bert,andyrochi,
0.37102,bert,dchoiboi00,
0.36998,bert,sunnivaliu,
0.35892,bert,eigenValue7,
0.35755,gpt2,marianellas,
0.35667,bert,EytanRozenblum,
0.35571,bert,chloewang-200,
0.35486,bert,shubham-rateria,
0.35381,word2vec,eminmdzd,
0.35357,gpt2,LexiYin-mh,
0.3503,bert,marianellas,
0.34723,bert,meridah7,
0.34358,word2vec,KaKituken,
0.34236,bert,khass2024,
0.34207,bert,mitkrieg,
0.34207,bert,JohnnaLiu999,
0.33998,bert,irenegaokx,
0.33954,bert,Ceudan,
0.33931,bert,nyl20,
0.33908,word2vec,yl3847,
0.33899,bert,rachnaumesh,
0.33899,bert,bhavya-gopal,
0.33899,bert,LexiYin-mh,
0.33898,bert,jatinkulkarni,
0.33807,bert,ohorban,
0.33807,bert,irenejy,
0.33807,bert,VictorYu379,
0.33757,gpt2,Ceudan,
0.33328,bert,berend-66,
0.33051,word2vec,dpmcmanus,
0.3275,bert,lizz27,
0.3275,bert,dpmcmanus,
0.3275,bert,0rionYang,
0.32745,bert,stephendongg,
0.32732,bert,WalterZStark,
0.32726,gpt2,jrbyers,
0.32671,word2vec,mitkrieg,
0.32516,gpt2,kekelilii,
0.32329,bert,YiT-qg,
0.32242,word2vec,mihika-jain,
0.31922,gpt2,eminalparslan,
0.31281,bert,avinair108,
0.31179,gpt2,dchoiboi00,
0.31179,gpt2,WalterZStark,
0.31039,word2vec,nyl20,
0.30945,word2vec,0rionYang,
0.30432,bert,taehyeon4,
0.30422,word2vec,yewentao256,
0.30278,bert,arnav-kolli,
0.30278,bert,aneeshat01,
0.30184,word2vec,sunnivaliu,
0.30085,word2vec,adi-bal,
0.30072,bert,bhoomikamehta,
0.29746,word2vec,andyrochi,
0.29715,bert,gandhi-shubh02,
0.29492,bert,xiaocheny1209,
0.2904,word2vec,ginoitaliano,
0.28995,word2vec,eminalparslan,
0.28979,word2vec,meridah7,
0.289,word2vec,LexiYin-mh,
0.28757,word2vec,Ceudan,
0.28749,word2vec,lizz27,
0.26896,word2vec,rachnaumesh,
0.26892,word2vec,jl3282,
0.26003,bert,aaryapatel100,
0.25986,bert,Xuening0322,
0.25905,word2vec,eigenValue7,
0.25392,word2vec,irenegaokx,
0.24679,bert,jrbyers,
0.24614,word2vec,JadeYzx,
0.24531,gpt2,eminmdzd,
0.24408,bert,kikimasu1,
0.24068,word2vec,aandime,
0.23841,gpt2,meridah7,
0.23786,word2vec,YiT-qg,
0.23711,word2vec,Soundpulse,
0.23671,word2vec,bhavya-gopal,
0.23562,word2vec,VictorYu379,
0.23559,gpt2,JohnnaLiu999,
0.23488,word2vec,stephendongg,
0.2336,word2vec,chocokook,
0.22995,word2vec,kekelilii,
0.22967,gpt2,rachnaumesh,
0.22967,gpt2,aaryapatel100,
0.22967,gpt2,Yel3nj,
0.22876,bert,JadeYzx,
0.22648,word2vec,khass2024,
0.22627,word2vec,aneeshat01,
0.22623,word2vec,avinair108,
0.22488,word2vec,huy2512hcm,
0.22172,gpt2,Theod0reWu,
0.22139,bert,akhilvreddy,
0.22083,word2vec,dchoiboi00,
0.21839,gpt2,berend-66,
0.21764,bert,rvedula02,
0.21368,word2vec,chloewang-200,
0.21126,word2vec,cin-cout,
0.21115,word2vec,jrbyers,
0.20701,word2vec,aaryapatel100,
0.20471,bert,aandime,
0.20311,word2vec,marianellas,
0.20089,gpt2,avinair108,
0.20006,word2vec,berend-66,
0.2,word2vec,bhoomikamehta,
0.19628,bert,Boca-J,
0.19604,word2vec,jatinkulkarni,
0.19563,word2vec,WalterZStark,
0.19336,bert,rhit-deckerza,
0.18854,word2vec,shubham-rateria,
0.18818,word2vec,olivesmoo,
0.18736,word2vec,jaekim123,
0.18736,word2vec,akhilvreddy,
0.18696,bert,Yel3nj,
0.18696,bert,Qiaolin-Yu,
0.18593,bert,NeenaSpace,
0.18532,bert,chocokook,
0.17863,word2vec,gandhi-shubh02,
0.17805,bert,alexanderquispe,
0.17773,word2vec,RishikSarkar,
0.17591,word2vec,EytanRozenblum,
0.17022,word2vec,JohnnaLiu999,
0.16792,bert,adi-bal,
0.16792,bert,RishikSarkar,
0.16546,gpt2,taehyeon4,
0.16546,gpt2,jaekim123,
0.16546,gpt2,chocokook,
0.16546,gpt2,awwstin,
0.16546,gpt2,Qiaolin-Yu,
0.16545,gpt2,fkhan000,
0.16512,gpt2,YiT-qg,
0.16463,gpt2,bhavya-gopal,
0.1646,gpt2,ohorban,
0.1646,gpt2,lizz27,
0.1646,gpt2,dpmcmanus,
0.1646,gpt2,arnav-kolli,
0.1646,gpt2,akhilvreddy,
0.16397,word2vec,kikimasu1,
0.16263,gpt2,Xuening0322,
0.15944,word2vec,wenfyan,
0.15692,word2vec,rhit-deckerza,
0.15607,gpt2,NeenaSpace,
0.15607,gpt2,Beichen-Ma,
0.15434,word2vec,taehyeon4,
0.15269,word2vec,anyaeross18,
0.15011,word2vec,Qiaolin-Yu,
0.14657,gpt2,0rionYang,
0.14632,bert,kapa-moon,
0.14289,bert,olivesmoo,
0.13592,gpt2,JadeYzx,
0.1351,bert,wenfyan,
0.1334,gpt2,aandime,
0.13213,bert,fkhan000,
0.13073,word2vec,fkhan000,
0.12674,gpt2,bhoomikamehta,
0.12646,gpt2,DavidQifongJiang,
0.12485,bert,Beichen-Ma,
0.12233,word2vec,Yel3nj,
0.11931,bert,awwstin,
0.11884,gpt2,eigenValue7,
0.11842,gpt2,rhit-deckerza,
0.11545,gpt2,shubham-rateria,
0.1138,gpt2,xiaocheny1209,
0.1129,gpt2,RishikSarkar,
0.11264,gpt2,olivesmoo,
0.11083,gpt2,gandhi-shubh02,
0.11072,gpt2,irenejy,
0.11022,word2vec,irenejy,
0.11012,gpt2,kikimasu1,
0.10932,gpt2,rvedula02,
0.08628,word2vec,DavidQifongJiang,
0.06645,word2vec,Xuening0322,
0.05715,bert,jaekim123,
0.05414,gpt2,kapa-moon,
0.05164,word2vec,awwstin,
0.04752,word2vec,kapa-moon,
0.04059,word2vec,NeenaSpace,
0.04024,word2vec,Boca-J,
0.03886,word2vec,ohorban,
0.02895,gpt2,ztvtn,
0.02895,gpt2,sebastianrjay,
0.02895,gpt2,Saksham-Mohan,
0.02895,gpt2,MichaelM7X,
0.02895,gpt2,JerryGgzm,
0.02895,gpt2,Irene-hy,
0.00948,word2vec,winstontsuicornell,
-0.0084,gpt2,wenfyan,
-0.02042,word2vec,arnav-kolli,
-0.03709,gpt2,alexanderquispe,
-0.04385,bert,ztvtn,
-0.04385,bert,sebastianrjay,
-0.04385,bert,Saksham-Mohan,
-0.04385,bert,MichaelM7X,
-0.04385,bert,JerryGgzm,
-0.04385,bert,Irene-hy,
-0.05352,word2vec,Theod0reWu,
-0.07549,word2vec,ztvtn,
-0.07549,word2vec,xiaocheny1209,
-0.07549,word2vec,sebastianrjay,
-0.07549,word2vec,Saksham-Mohan,
-0.07549,word2vec,MichaelM7X,
-0.07549,word2vec,JerryGgzm,
-0.07549,word2vec,Irene-hy,
-0.07549,word2vec,Beichen-Ma,
-0.12568,word2vec,rvedula02,
,gpt2,jatinkulkarni,Error computing correlation!
,word2vec,alexanderquispe,Error computing correlation!
,gpt2,EytanRozenblum,Error computing correlation!
